id,true_text,predicted_text,metrics
23594,that,that thatt that That that,5.25
100684,lady-love,ladyabove bodydayby,1.3333333333333333
13651,of,its to ofs,4.0
11613,United,United Uniteded limited,2.8333333333333335
83405,must,most most mosts must,4.0
69317,...,Mr .......,2.3333333333333335
31650,Hotel,Hold Hot Hotel to,2.4
22797,Bernhard,Zealandd excludeded,2.0
4165,Mr.,Mr Mr the Mr. Mr,4.333333333333333
99801,air,his air Sir sir,4.0
67777,master,master matter masterwater,3.1666666666666665
76267,a,a aa as,6.0
88360,remarked,resurrect reportedmost mouth,2.875
19441,Britishers,Extevieviationevis,1.3
113640,curling,cutting usingating carrying,3.0
56590,children,dithen children either,1.75
26548,altogether,altogether altogether togethertogether brother together,4.5
72964,secure,secure securee gave,2.1666666666666665
99988,doesn't,drewstactiv invest,1.8571428571428572
79219,of,or of to at,4.5
2749,discussions,discussions associatess discrimination,2.4545454545454546
105620,we,we me we weve we,7.0
43122,the,the the He to the,4.666666666666667
69854,inventory,inventorytoryyry,0.7777777777777778
54103,an,an an am as an,6.0
6603,at,at at a tat,4.5
9136,of,of of or ofs,5.0
79602,counting,caution countingeasingating,2.375
46354,energetic,energetic energeticre genetic,2.2222222222222223
8878,and,and and andd end,4.333333333333333
88964,material,materialmaterial Patricia material,3.25
112581,as,as as is ass as,6.5
5471,conference,conference conferenceeen,1.4
76068,to,to to tosto,4.5
11526,war,was was wass war,4.333333333333333
106190,sir,Mr nor our For,4.333333333333333
103071,a,a a at aa,8.0
99874,ineffective,effective effective effectives election,2.6363636363636362
62213,...,"' :. ,",1.6666666666666667
83568,the,the the The me,3.6666666666666665
80417,but,But but But Butt,4.333333333333333
57985,the,the The the He the,5.0
112709,?,? ? 2 :,6.0
29544,Lisbon,Lisbon Lisbons ribbon,2.5
47182,!,"( ! ( ,",6.0
37756,-,""" -- ,",5.0
44002,cover,cover covers covers,2.8
99617,project,given is periods,2.142857142857143
72017,forming,Coming formingeasing Coming,2.857142857142857
33737,as,as as is us,4.5
45643,from,from from froms for,3.75
106485,second,second seconds second Second,3.6666666666666665
57258,The,The The the There The,6.0
69753,to,to to tos To,5.0
27902,Mr.,Mr Mr AA.,2.0
1190,been,been been seen beens,4.0
89696,After,Her the Her He Here Her,4.0
26287,the,the the The thethe the,6.333333333333333
63767,in,in inin ins in,6.0
104091,knew,know know knows knew,4.0
75247,according,meeting workingseasing,1.8888888888888888
64411,Anglesey,Mystery byseyty,1.375
38011,of,of at a of,4.0
6291,non-violence,runrevenue--- --,1.0833333333333333
97687,us,us uss us is usus,7.5
60121,winter,winter winterwater whether winter,4.5
66702,being,being bring beings,2.6
86814,mother,mother mother further rather,3.6666666666666665
63452,God,Good God Good Godd,5.0
17652,to,to to tos tot,5.5
20508,and,and And and old,4.0
45347,of,at ofs or,3.5
105795,Maffrey's,Matt Matter Maysey',1.5555555555555556
54019,with,with with withth With,4.25
75129,all,all all All a,3.3333333333333335
90611,better,better better letter betterter,4.0
47605,at,It Sts 3,3.5
30552,My,My My by Mys My,6.5
37277,ignorance,ignorance in procedure increase,2.4444444444444446
68807,Melbourne's,Tos''ssss,0.9090909090909091
28982,a,a & a R,6.0
82775,Do,Do Do Dos to,5.0
72152,considered,considered consistedsism,1.4
32488,and,and andand And,3.6666666666666665
74830,they,the they My by,2.5
39095,may,may may way May,4.0
61700,may,may may mayy way,4.333333333333333
63528,ever,ever over ever error,4.0
38728,follows,follow flour follows blow,2.5714285714285716
60862,Italian,this thanation thin,2.142857142857143
80976,were,were were are we,3.0
84102,fellow,fellow Fellow Before fellow,3.5
13038,MR.,MR the MR Mr MR,4.333333333333333
52257,the,the He the The the,5.0
14777,of,of ofs or,3.5
24853,",",",s , ;",5.0
38848,',",s ' ,",5.0
23636,the,the He the there the,5.666666666666667
111633,they,they by they the they,4.25
9125,his,his hiss his His his his,7.0
65681,treated,treated needed treateded,2.4285714285714284
102386,modern,modern modernn moderner,2.8333333333333335
13535,who,who whos who why,4.333333333333333
21792,to,to to toto tos,6.0
28992,as,as ass as us ases,7.5
71623,again,area a and can,2.2
95478,"""",""" , "" ! '",8.0
63959,new,new now was no,3.6666666666666665
60141,",","' , ;s",5.0
38668,the,her the her hers,4.333333333333333
16669,is,is iss is hisss,6.5
44533,year,year your year per,3.5
32621,the,the the The thethe the,6.333333333333333
14249,occupation,corruption auction aation,1.7
80683,almost,almost almosts almostal,2.8333333333333335
14824,programmes,programmes programmes programmesss,2.4
20820,for,for for For fors for,5.666666666666667
54612,could,could could couldable cold,4.2
23783,(,"to ( , )",7.0
58478,What,that had that but,3.5
81296,little,little little title life little,4.166666666666667
59265,sent,sent set out and,3.0
94583,',", , ' """,6.0
43576,this,this this his His thiss,4.75
79965,in,in he in the to in,8.0
2928,too,too too to tooto too,5.666666666666667
42048,way,way way very was,4.333333333333333
52833,con-,con con com con- con,4.0
12118,unaligned,assigned alleged alignedal,2.0
7760,and,and andsed,2.3333333333333335
90000,Public,Public Pacific Radio Daily,3.3333333333333335
69941,preserved,prepared recordsed,1.2222222222222223
21032,stronger,stronger storageer charges,2.25
27535,",","it : ; ,",7.0
93766,He,He He the Hete,6.0
26134,Here,Here Here Her Herere Heree,5.5
108031,been,been been beens be,3.5
110360,was,was was wass has,4.333333333333333
107080,cad,can and cardced,4.0
92692,Now,Now Now How Nows Now,5.666666666666667
3453,undermining,undermine reducingced exclusive,1.8181818181818181
38215,further,further letter further better,3.142857142857143
83800,his,his hiss his His hist,6.0
109384,wishes,mother whether who sites,3.3333333333333335
100319,I,I ; 3 ),6.0
22179,Loch,both look both book,4.25
59794,he,he the he be he,6.5
67542,Mauro's,Mauross''s'',0.7142857142857143
15469,That,That That that Thatt Thatlat,6.0
72164,away,away any every away,3.75
41701,approximately,approximately approximately aggressively approximately approximately particularly approximately approximately approximately app,8.76923076923077
90256,drinks,drinks drinkss limits,2.5
16584,Chancellor,Chancellor Cancel cancelledance,2.1
1902,of,at ofs or,3.5
31333,since,since since in are,2.6
974,conference,conference conference reference defence,2.9
102188,Pericles,Percival Pers Period,1.625
32451,",",",s , )",5.0
42801,the,"Yet He , the",3.0
2830,higher,higher lighter after wherever,3.8333333333333335
90447,pouring,policy paying going only,2.7142857142857144
91664,beyond,beyond beyondd beyonded,2.8333333333333335
110091,leave,leave leave have leavee leave,4.8
32939,text,text next text texts,4.0
33803,Such,Such Such Suchs such,4.0
92222,garaged,garage gauge causedg,1.8571428571428572
14972,will,will will willt with,4.0
57135,as,as ass as asas,6.0
38079,Monday,Monday Honda M Monday,2.5
106576,little,little little Little littlet little,4.833333333333333
114487,the,the The the there thes,6.333333333333333
49355,close,close also closes,2.4
70127,was,has was war bar,4.0
3771,improve,improve purpose improve Europe,3.2857142857142856
655,action,actionation actionations,3.0
95924,complete,Complete Completecomplete Completes,3.375
106881,her,her the he been,4.0
90979,good-sized,good copied exciseg,1.3
42380,sufficient,sufficient official efficientt,2.0
111067,there,there these the These,3.2
106681,it,it its if it,5.0
63189,well,well will well with,3.75
70155,from,from than from froms from,5.25
45017,same,Same Same same samene,4.25
97388,",",", ,s )",5.0
93424,friend,friend Grinded dried,2.3333333333333335
70003,as,as as a at as,5.5
16648,truism,mission mission missionism vision,5.0
62037,then,then then men Then them,4.75
52592,knights,suits withs',1.2857142857142858
39197,were,were wereve we,2.5
18066,earn,each rain each can,3.5
93079,on,on or on On on,6.0
63412,search,search searchs reach,2.3333333333333335
66043,a,a a & as a,9.0
71994,The,The The There the,4.666666666666667
71178,was,was was wass Was,4.333333333333333
89157,something,something somethinging somethings something,3.7777777777777777
61936,a,a a at as a,10.0
106782,her,his he the his,4.0
63011,",","' , ; )",6.0
69204,answer,answer answerism another,3.0
11034,because,because because Because become because,4.428571428571429
78817,of,OF of or Of,4.5
105017,about,about went startest,2.8
46577,these,these these These theses these,5.0
39824,is,is iss is isrs,6.0
7476,a,a aa as,6.0
60935,that,that thatt that That that,5.25
29361,not,not most not nott,4.666666666666667
59807,Arthur,Arthur Arthur Art Arthurt Arthur,4.333333333333333
41475,safety,try by to try,1.8333333333333333
2477,cash,cast and eachced,3.0
46991,approach,approacha approach research,2.375
49906,in,in is in ins,5.0
68192,character,character character chamberah,2.2222222222222223
71857,period,period points period,2.3333333333333335
74674,However,However However November Howeverer However,5.0
54275,"1,000,000",issuesas see,1.3333333333333333
30605,covered,coveredve coveredever,2.0
104249,surviving,serving serving reviewing moving,2.6666666666666665
84750,and,and and Andand,3.6666666666666665
25796,unborn,emotion unknownenation,3.0
34514,your,your your you yours your,5.0
77058,upper,your upon withy,2.6
11097,Verwoerd,Neuros recoveredwood,1.75
92969,their,their their Her theirs their,4.6
52448,and,and and anddand,4.0
90514,moments,movements normally normallyss,3.142857142857143
110837,Inspector,September inagesisse,2.0
29402,who,who who whos into,4.666666666666667
63420,malady,mayday may salary,2.0
1816,the,He the He to,3.0
9298,for,for for For far,4.0
19375,Yanks,tasks tankssy,1.8
76667,and,and ands end,3.0
11292,the,the the He The the,5.0
37191,which,which with whichs,2.4
90992,calling,calling call can calling,2.4285714285714284
91820,",","' ,s )",5.0
82229,",",",s ' ,",5.0
11454,Medical,believed medicaledced,2.142857142857143
6825,for,for far for For,4.0
67338,medicine,medicine medium declineed,2.125
72223,The,The The There the,4.666666666666667
1051,blown,blow Downdown blown Down,3.8
79328,pestle,pastel P PSL Settle,2.3333333333333335
14875,value,value valuere valve,2.8
81520,and,and And andand,3.6666666666666665
102164,You,You You to Yout You,5.333333333333333
38456,the,the the The He,3.6666666666666665
9786,added,addeded addedd,1.8
96599,his,his hiss his His his,5.666666666666667
94061,and,and and anddand,4.0
39452,be,be be by bes,5.0
15723,Madagascar,That producer' background,2.1
55586,little,little little Little title,3.3333333333333335
76414,the,the the The thes the,5.666666666666667
83600,pay,gay Gay day by,4.0
105997,a,a a as as,8.0
10295,the,the The the there the,6.0
