id,true_text,predicted_text,metrics
23594,that,thatatet,1.0
100684,lady-love,Val-lovel,0.4444444444444444
13651,of,of.ap,1.5
11613,United,Unitededled,0.8333333333333334
83405,must,meettet:,1.5
69317,...,Mr......,1.6666666666666667
31650,Hotel,Haldolddd,1.4
22797,Bernhard,Bedholdald,0.75
4165,Mr.,Mr......,1.6666666666666667
99801,air,airilir,1.3333333333333333
67777,master,mastereteter,1.0
76267,a,"a,.c",3.0
88360,remarked,requirededededededed,1.875
19441,Britishers,Britishillietet,0.7
113640,curling,entignilying,1.1428571428571428
56590,children,childrenakenled,0.875
26548,altogether,althoughherphh,0.7
72964,secure,seureIRD,0.6666666666666666
99988,doesn't,desicultillift,1.5714285714285714
79219,of,ofoff.old,3.5
2749,discussions,desisticincia,0.8181818181818182
105620,we,weveave.,3.0
43122,the,the.k,0.6666666666666666
69854,inventory,inEDOPAD,0.7777777777777778
54103,an,annou,1.5
6603,at,atiteta,2.5
9136,of,ofapop,2.0
79602,counting,countrytingingring,1.25
46354,energetic,eneristicicinc,0.7777777777777778
8878,and,andouded,1.6666666666666667
88964,material,materialipalillall,1.25
112581,as,as.s,1.0
5471,conference,engineamefine,1.0
76068,to,toop,1.0
11526,war,wasapurar,2.0
106190,sir,our.ur,1.6666666666666667
103071,a,on.a,3.0
99874,ineffective,diffidillive,0.7272727272727273
62213,...,....:-,1.0
83568,the,theame.,1.3333333333333333
80417,but,bututitout,2.3333333333333335
57985,the,the.ap,1.0
112709,?,?.:!,3.0
29544,Lisbon,Lositionupon,1.3333333333333333
47182,!,!:.-,3.0
37756,-,"...-"".",5.0
44002,cover,civesaveAT,1.4
99617,project,mightetight.,1.4285714285714286
72017,forming,Fongingring,1.0
33737,as,ass.,1.0
45643,from,fromoulan,1.25
106485,second,againstaldachannot,2.5
57258,The,The.able,1.6666666666666667
69753,to,tooleooke,3.5
27902,Mr.,M.DIR,1.3333333333333333
1190,been,beenenaap,1.25
89696,After,AfteretAT,0.8
26287,the,the.k,0.6666666666666666
63767,in,inili,1.5
104091,knew,knowoulk,1.25
75247,according,uningongring,0.8888888888888888
64411,Anglesey,Angeyagueug,0.875
38011,of,ofap.,1.5
6291,non-violence,nvlole,0.5833333333333334
97687,us,us.s,1.0
60121,winter,winteretuttereter,1.8333333333333333
66702,being,heingring,1.0
86814,mother,motherauerherou,1.5
63452,God,Godoldoudod,2.6666666666666665
17652,to,tooole,2.0
20508,and,andoudl,1.3333333333333333
45347,of,of.l,1.0
105795,Maffrey's,M'siersives,0.8888888888888888
54019,with,mouththlight,2.5
75129,all,allilll,1.3333333333333333
90611,better,betterATetett,1.1666666666666667
47605,at,itatet.,2.5
30552,My,Nugly,2.0
37277,ignorance,ignanceaceame,0.8888888888888888
68807,Melbourne's,M'sap,0.9090909090909091
28982,a,a.kR,3.0
82775,Do,Do000OD,2.5
72152,considered,conslededledled,0.7
32488,and,andlall,1.3333333333333333
74830,they,theyugy,0.75
39095,may,mayayugap,2.0
61700,may,mayayugap,2.0
63528,ever,evenereveret,2.0
38728,follows,followlouowers,1.0
60862,Italian,Italianillignian,1.2857142857142858
80976,were,wereureave.,1.75
84102,fellow,followoul,0.6666666666666666
13038,MR.,uppipap,2.3333333333333335
52257,the,the.able,1.6666666666666667
14777,of,of.l,1.0
24853,",",","".-",3.0
38848,',","".'",3.0
23636,the,the.k,0.6666666666666666
111633,they,theyapug,1.0
9125,his,hisisits,1.6666666666666667
65681,treated,tedledald,0.8571428571428571
102386,modern,modernanann,0.8333333333333334
13535,who,whooole,1.3333333333333333
21792,to,too20,1.5
28992,as,assap,1.5
71623,again,againiaaara,1.2
95478,"""",""",.'ll",5.0
63959,new,supererurou,3.3333333333333335
60141,",",""",.-",3.0
38668,the,the.l,0.6666666666666666
16669,is,is.'si,2.0
44533,year,yearurarou,1.5
32621,the,the.k,0.6666666666666666
14249,occupation,ceptionignuationation,1.4
80683,almost,almostoldalll,1.1666666666666667
14824,programmes,programnessansons,0.8
20820,for,forortorop,2.3333333333333335
54612,could,couldablealdold,2.0
23783,(,(.),2.0
58478,What,Whatetatc,1.25
81296,little,littleillIRable,1.5
59265,sent,sentantetit,1.75
94583,',""",.'",3.0
43576,this,thisiusis,1.25
79965,in,theill,2.5
2928,too,too000oool,2.3333333333333335
42048,way,wayyayoy,1.6666666666666667
52833,con-,co----,0.75
12118,unaligned,managededledined,1.1111111111111112
7760,and,andouded,1.6666666666666667
90000,Public,Disticiclic,1.3333333333333333
69941,preserved,presedledmedical,1.0
21032,stronger,strongerog,0.25
27535,",",it:i.,5.0
93766,He,He.ole,2.0
26134,Here,Hereurekave,1.75
108031,been,beena.ann,1.25
110360,was,wasapasay,2.0
107080,cad,saidcad,1.3333333333333333
92692,Now,Nowowoul,1.6666666666666667
3453,undermining,underallingingius,0.6363636363636364
38215,further,flauerherill,1.0
83800,his,hisitsisi,2.0
109384,wishes,motherhererness,2.0
100319,I,"Iil.,",4.0
22179,Loch,loldole,1.5
59794,he,he.k,1.0
67542,Mauro's,Map'sar,0.7142857142857143
15469,That,Thatetatatt,1.75
72164,away,awayayugary,1.75
41701,approximately,applyitableable,0.6923076923076923
90256,drinks,diffirtyightlight,2.3333333333333335
16584,Chancellor,Chancecap,0.4
1902,of,of.old,2.0
31333,since,sinceicevice,1.4
974,conference,confenceofficefine,1.0
102188,Pericles,Pclesiesides,0.875
32451,",",",.ilill",6.0
42801,the,He.able,2.0
2830,higher,lightlyhered,1.1666666666666667
90447,pouring,pongugaying,0.7142857142857143
91664,beyond,beoudedyond,0.8333333333333334
110091,leave,leaveaveouv,1.2
32939,text,HealthetKit,2.0
33803,Such,Suchachc,1.0
92222,garaged,gedagedag,0.5714285714285714
14972,will,willillalll,1.75
57135,as,asars,1.5
38079,Monday,Mableableableableableable,3.8333333333333335
106576,little,littleIRillable,1.5
114487,the,the.k,0.6666666666666666
49355,close,closeoleoseoke,1.8
70127,was,leaderapar,3.0
3771,improve,improveouavev,0.8571428571428571
655,action,actionationitionign,2.1666666666666665
95924,complete,completeoleableble,1.25
106881,her,hered.,1.0
90979,good-sized,good------,0.5
42380,sufficient,sufficienticientcientistic,1.6
111067,there,Thereameureave,2.0
106681,it,ifitillil,3.5
63189,well,wellillilall,2.0
70155,from,fromouopn,1.25
45017,same,sameameaveure,2.25
97388,",",","".il",4.0
93424,friend,friendledinded,1.3333333333333333
70003,as,orapar.,3.0
16648,truism,trismigniss,1.1666666666666667
62037,then,Whenenn.,1.25
52592,knights,buph210,1.0
39197,were,Therewereaveure,2.75
18066,earn,againain'm,2.0
93079,on,onououd,2.5
63412,search,searchedachards,1.5
66043,a,"""ac.",3.0
71994,The,The.able,1.6666666666666667
71178,was,wasassap,1.6666666666666667
89157,something,somethingthingph,0.7777777777777778
61936,a,a.c,2.0
106782,her,her.ur,1.0
63011,",",",:.""",3.0
69204,answer,anermerar,0.8333333333333334
11034,because,becaseoseame,0.8571428571428571
78817,of,ofIR.OP,2.5
105017,about,absAAD,0.8
46577,these,theseaseoseise,1.8
39824,is,is'si,1.5
7476,a,a.ap,3.0
60935,that,thatetatatt,1.75
29361,not,notortetout,2.6666666666666665
59807,Arthur,Arthurthever.,1.1666666666666667
41475,safety,tellingytyly,1.6666666666666667
2477,cash,canableookab,2.5
46991,approach,appachapable,1.0
49906,in,inilill,2.5
68192,character,chapteracherapar,0.8888888888888888
71857,period,periodedoldid,1.1666666666666667
74674,However,Mauerever,0.7142857142857143
