id,true_text,predicted_text,metrics
69349,Byron,Br,0.6
109407,"""",,1.0
21738,the,the,0.0
45957,and,and,0.0
14776,slaughter, daughter,0.2222222222222222
55309,conductor,con,0.6666666666666666
97250,that,,1.0
38159,closing,closed,0.42857142857142855
4186,cent.,cent,0.2
30524,an,an,0.0
42590,in,in,0.0
110256,...,,1.0
100251,eyes,eyes,0.0
12923,preparations,pre,0.75
20821,those,those,0.0
72978,inspection,,1.0
44639,are,are,0.0
12141,It,,1.0
100004,you,you,0.0
15043,There,There,0.0
2752,a,a,0.0
42944,the,the,0.0
94436,people,people,0.0
35812,the,the,0.0
12193,limited,limited,0.0
6607,where,Where,0.2
27256,little,little,0.0
97840,seen,seen,0.0
12412,tests,le,0.8
71995,number,number,0.0
22814,and,,1.0
81053,of,of,0.0
5472,of,of,0.0
39039,fine,fine,0.0
71163,the,the,0.0
49924,",",,1.0
33796,creature,ure,0.625
114389,crowd,,1.0
23720,sense,sense,0.0
61637,I,",",1.0
55667,a,a,0.0
49854,a,a,0.0
47500,blunt,but,0.4
33548,Baal-meon,-,0.8888888888888888
11900,as,as,0.0
17525,others,other,0.16666666666666666
46270,largest,largest,0.0
18102,members,members,0.0
26982,Then,Then,0.0
14804,It,It,0.0
94422,or,or,0.0
104611,of,of,0.0
36576,my,my,0.0
49730,our,,1.0
63189,well,,1.0
1190,been,been,0.0
81734,So,So,0.0
100212,other,other,0.0
16598,consequences,Congress,0.6666666666666666
8423,",",",",0.0
14085,by,by,0.0
27154,melodramatic,me,0.8333333333333334
77727,over,over,0.0
6303,to,to,0.0
43361,different,different,0.0
93172,to,to,0.0
19265,Now,,1.0
74508,Other,Other,0.0
92971,like,like,0.0
63974,painful,parable,0.7142857142857143
85931,?,??,1.0
70227,again,again,0.0
44398,",",",",0.0
49711,",",",",0.0
47078,?,?,0.0
76411,the,the,0.0
48752,of,of,0.0
22503,only,only,0.0
32761,the,the,0.0
17457,colours,,1.0
94453,",",,1.0
92178,and,,1.0
72152,considered,cons,0.6
26802,on,on,0.0
96829,"""",,1.0
96173,Advertiser,F,1.0
46147,theoretical,,1.0
64590,on,on,0.0
25444,she,she,0.0
57765,end,,1.0
37427,on,on,0.0
108056,'ll,,1.0
86287,She,the,0.3333333333333333
68051,",",",",0.0
55872,that,that,0.0
