id,true_text,predicted_text,metrics
23594,that,ghat,0.25
100684,lady-love,Lady - Love,0.4444444444444444
13651,of,ofs,0.5
11613,United,hundred,0.6666666666666666
83405,must,must,0.0
69317,...,it . .,1.3333333333333333
31650,Hotel,hotel,0.2
22797,Bernhard,Bernhard,0.0
4165,Mr.,jmp.,1.0
99801,air,air,0.0
67777,master,master,0.0
76267,a,or,2.0
88360,remarked,reworked,0.25
19441,Britishers,brilites,0.5
113640,curling,curling,0.0
56590,children,eh : kdren,0.625
26548,altogether,altogether,0.0
72964,secure,secure,0.0
99988,doesn't,doesn't i,0.2857142857142857
79219,of,o f,0.5
2749,discussions,disquarious,0.36363636363636365
105620,we,ive,1.0
43122,the,the,0.0
69854,inventory,inventory,0.0
54103,an,qm,1.0
6603,at,cut,1.0
9136,of,of,0.0
79602,counting,counting,0.0
46354,energetic,energetic,0.0
8878,and,owed,1.0
88964,material,material,0.0
112581,as,cog,1.5
5471,conference,conference,0.0
76068,to,fg,1.0
11526,war,nice,1.3333333333333333
106190,sir,inflammatory,3.6666666666666665
103071,a,edu,3.0
99874,ineffective,in effe of five,0.5454545454545454
62213,...,In other projects were,7.333333333333333
83568,the,ene,0.6666666666666666
80417,but,our,0.6666666666666666
57985,the,fne,0.6666666666666666
112709,?,l,1.0
29544,Lisbon,Lisbon,0.0
47182,!,l,1.0
37756,-,jll,3.0
44002,cover,cover,0.0
99617,project,"prey , yet .",1.2857142857142858
72017,forming,forming,0.0
33737,as,ds,0.5
45643,from,from,0.0
106485,second,second,0.0
57258,The,the,0.3333333333333333
69753,to,x,1.0
27902,Mr.,Mr. Guy,1.3333333333333333
1190,been,been,0.0
89696,After,tjter,0.4
26287,the,the,0.0
63767,in,jn,0.5
104091,knew,knew,0.0
75247,according,according,0.0
64411,Anglesey,Anglesey,0.0
38011,of,of,0.0
6291,non-violence,"non-violence ,",0.16666666666666666
97687,us,wes,1.0
60121,winter,winter,0.0
66702,being,being,0.0
86814,mother,mother,0.0
63452,God,good,0.6666666666666666
17652,to,ty,0.5
20508,and,and,0.0
45347,of,of,0.0
105795,Maffrey's,Maffrey's,0.0
54019,with,with,0.0
75129,all,all,0.0
90611,better,better,0.0
47605,at,of,1.0
30552,My,mg,1.0
37277,ignorance,ignorance .,0.2222222222222222
68807,Melbourne's,Melbourne's,0.0
28982,a,re,2.0
82775,Do,do,0.5
72152,considered,considered,0.0
32488,and,and,0.0
74830,they,they,0.0
39095,may,may,0.0
61700,may,mdy,0.3333333333333333
63528,ever,ever,0.0
38728,follows,follows,0.0
60862,Italian,jotalign,0.42857142857142855
80976,were,were,0.0
84102,fellow,fellow,0.0
13038,MR.,mp,1.0
52257,the,the,0.0
14777,of,of,0.0
24853,",",is,2.0
38848,',l,1.0
23636,the,the,0.0
111633,they,they,0.0
9125,his,his,0.0
65681,treated,treaded,0.14285714285714285
102386,modern,modern,0.0
13535,who,who,0.0
21792,to,to,0.0
28992,as,as,0.0
71623,again,again,0.0
95478,"""",l (,3.0
63959,new,www,0.6666666666666666
60141,",",p,1.0
38668,the,the,0.0
16669,is,""" """,1.5
44533,year,yawn,0.75
32621,the,the,0.0
14249,occupation,occupation,0.0
80683,almost,upmos (,0.6666666666666666
14824,programmes,programmes,0.0
20820,for,for,0.0
54612,could,cowful,0.6
23783,(,rs,2.0
58478,What,dead,0.75
81296,little,little,0.0
59265,sent,sent,0.0
94583,',l,1.0
43576,this,this,0.0
79965,in,j u,1.5
2928,too,too,0.0
42048,way,way,0.0
52833,con-,coax-,0.5
12118,unaligned,noaligned,0.2222222222222222
7760,and,and,0.0
90000,Public,public,0.16666666666666666
69941,preserved,preserved,0.0
21032,stronger,stronger,0.0
27535,",",j,1.0
93766,He,fle,1.0
26134,Here,here,0.25
108031,been,been,0.0
110360,was,wrag,0.6666666666666666
107080,cad,cad,0.0
92692,Now,now,0.3333333333333333
3453,undermining,muscles mining,0.5454545454545454
38215,further,farther,0.14285714285714285
83800,his,his,0.0
109384,wishes,worker,0.6666666666666666
100319,I,j,1.0
22179,Loch,lock,0.5
59794,he,he,0.0
67542,Mauro's,Mauro's,0.0
15469,That,that,0.25
72164,away,away,0.0
41701,approximately,approximately,0.0
90256,drinks,dining,0.6666666666666666
16584,Chancellor,Chancellor,0.0
1902,of,of,0.0
31333,since,awce,0.6
974,conference,conference,0.0
102188,Pericles,pericles,0.125
32451,",",f,1.0
42801,the,he,0.3333333333333333
2830,higher,higher,0.0
90447,pouring,powing,0.2857142857142857
91664,beyond,beyond,0.0
110091,leave,leave,0.0
32939,text,text,0.0
33803,Such,such,0.25
92222,garaged,garaged,0.0
14972,will,will,0.0
57135,as,gis,1.0
38079,Monday,would,0.8333333333333334
106576,little,little,0.0
114487,the,the,0.0
49355,close,clog,0.4
70127,was,war,0.3333333333333333
3771,improve,improve,0.0
655,action,action,0.0
95924,complete,couple (,0.375
106881,her,her,0.0
90979,good-sized,good-sized,0.0
42380,sufficient,sufficient,0.0
111067,there,there,0.0
106681,it,if,0.5
63189,well,will,0.25
70155,from,from,0.0
45017,same,sume,0.25
97388,",",f,1.0
93424,friend,friend,0.0
70003,as,ar,0.5
16648,truism,triism,0.16666666666666666
62037,then,they,0.25
52592,knights,caughts,0.42857142857142855
39197,were,literate,1.25
18066,earn,earn,0.0
93079,on,on,0.0
63412,search,search,0.0
66043,a,ul,2.0
71994,The,the,0.3333333333333333
71178,was,was,0.0
89157,something,something,0.0
61936,a,ch,2.0
106782,her,en,0.6666666666666666
63011,",",i,1.0
69204,answer,categories,1.3333333333333333
11034,because,because,0.0
78817,of,of,0.0
105017,about,who had,1.2
46577,these,these,0.0
39824,is,is,0.0
7476,a,d,1.0
60935,that,that,0.0
29361,not,not,0.0
59807,Arthur,Arthur,0.0
41475,safety,fety,0.3333333333333333
2477,cash,cash,0.0
46991,approach,empyroa on,0.75
49906,in,i m,1.0
68192,character,character,0.0
71857,period,period,0.0
74674,However,flowerer,0.42857142857142855
54275,"1,000,000","1 , 000,000,000",0.6666666666666666
30605,covered,covered,0.0
104249,surviving,surviving,0.0
84750,and,and,0.0
25796,unborn,unborn,0.0
34514,your,your,0.0
77058,upper,upper,0.0
11097,Verwoerd,beword,0.375
92969,their,their,0.0
52448,and,and,0.0
90514,moments,movements,0.2857142857142857
110837,Inspector,Inspector,0.0
29402,who,who,0.0
63420,malady,una lady,0.5
1816,the,fte,0.6666666666666666
9298,for,for,0.0
19375,Yanks,yanks,0.2
76667,and,and,0.0
11292,the,ane,0.6666666666666666
37191,which,"which ,",0.4
90992,calling,calling,0.0
91820,",",i,1.0
82229,",",r,1.0
11454,Medical,medical,0.14285714285714285
6825,for,for,0.0
67338,medicine,medicine,0.0
72223,The,the,0.3333333333333333
1051,blown,blown,0.0
79328,pestle,pestle,0.0
14875,value,value,0.0
81520,and,and,0.0
102164,You,you,0.3333333333333333
38456,the,the,0.0
9786,added,added,0.0
96599,his,his,0.0
94061,and,and,0.0
39452,be,be,0.0
15723,Madagascar,Madagascar ),0.2
55586,little,little,0.0
76414,the,the,0.0
83600,pay,edgy,1.0
105997,a,egg,3.0
10295,the,the,0.0
21073,through,through,0.0
49478,to,to,0.0
44431,Lincs,lines,0.4
96056,mind,wind,0.25
85841,erupted,erupted,0.0
73182,on,on,0.0
110424,touched,touched,0.0
101065,",",p,1.0
35791,indicated,indicated,0.0
20648,for,for,0.0
110717,or,or,0.0
30261,to,to,0.0
5515,adequate,adequate,0.0
43719,before,before,0.0
29246,around,around,0.0
66774,number,member,0.3333333333333333
55824,houses,houses,0.0
2168,letter,here,0.6666666666666666
73201,to,to,0.0
37482,our,our,0.0
24881,as,as,0.0
79782,of,o f,0.5
48302,they,they,0.0
46039,looks,looks,0.0
62784,that,tact,0.5
20517,sentiments,"Jen ( "" Hunts",0.8
89873,can,can,0.0
49334,arm,courting,2.3333333333333335
87535,With,with,0.25
94682,All,all,0.3333333333333333
14127,razed,taped,0.4
75962,centres,centres,0.0
48659,"""",j,1.0
34761,"""",f,1.0
39333,crocheted,crocheted,0.0
27774,case,case,0.0
5020,draws,draws,0.0
29212,jugglers,jugglers,0.0
13322,was,immortalising,3.6666666666666665
109916,be,he,0.5
26073,",",l,1.0
95323,Dinas,pinas,0.2
20826,over,over,0.0
3606,as,as,0.0
25624,something,something,0.0
27377,",",f,1.0
37059,their,kleir,0.4
108657,"""",fi,2.0
92397,the,the,0.0
72010,built,built,0.0
75796,less,less,0.0
31134,chap,chcp,0.25
55061,level,love &,0.6
68986,faithfully,faith fully,0.1
65291,and,and,0.0
84109,grinning,affirming,0.625
34494,you,you,0.0
18890,charge,charge,0.0
90034,of,off,0.5
45334,cheap,cheap,0.0
73841,but,bc.d,1.0
108286,me,one,1.0
33896,"""",jd,2.0
18269,and,and,0.0
98618,to,to,0.0
7629,the,the,0.0
16760,next,next,0.0
41487,pieces,pieces,0.0
55923,was,was,0.0
227,existence,existence,0.0
78154,development,development,0.0
50900,",",j,1.0
11574,a,ay,1.0
99401,in,in,0.0
18307,Suddenly,suddenly,0.125
65503,Samuel,samnel,0.3333333333333333
112351,house,house,0.0
14015,solved,solved,0.0
67929,"Ko""then","kgr "" When",0.8571428571428571
93526,",",f,1.0
51229,apart,capa it,0.6
71118,to,to,0.0
87155,",",casing,6.0
110809,her,her,0.0
81624,of,of,0.0
83669,ambitions,ambi tious,0.2222222222222222
48862,Peacock,peacock,0.14285714285714285
25547,time,time,0.0
3205,lagging,lagging,0.0
12003,another,anchor,0.42857142857142855
88922,of,of,0.0
108931,You,you,0.3333333333333333
56468,It,ft,0.5
88729,5pe-soled,5 per soled,0.3333333333333333
14583,leaders,leaders,0.0
75137,",",j,1.0
62366,be,be,0.0
100272,me,me,0.0
101101,of,of,0.0
6252,167,167,0.0
106544,That,effort,1.25
100468,"""",we,2.0
6451,today,today,0.0
92745,safety,serfety,0.3333333333333333
70633,her,her,0.0
15000,how,how,0.0
55579,But,but,0.3333333333333333
91273,I,f,1.0
53168,and,and,0.0
48736,has,hey,0.6666666666666666
11667,Russians,Russians,0.0
55741,It,it,0.5
34824,days,days,0.0
23720,sense,sense,0.0
58888,been,been,0.0
34075,which,which,0.0
40335,(,y,1.0
83156,on,on,0.0
99948,to,to,0.0
15826,to,filler,3.0
110903,depreciation,depression,0.3333333333333333
49767,the,mm,1.0
10747,approval,approval,0.0
9328,at,at,0.0
63792,of,o f,0.5
106674,Gavin,gave :,0.8
61374,I,p.,2.0
84852,Yes,ye's,0.6666666666666666
19268,the,the,0.0
69743,marketable,on a wire tackle,1.0
86654,he,he,0.0
58499,priest,qNVI,1.0
97401,sound,so under,0.6
110497,him,him,0.0
31543,it,it,0.0
2422,Robertson,koberton,0.2222222222222222
48034,beyond,beyond,0.0
39521,shape,"shape ,",0.4
59157,the,the,0.0
52158,the,the,0.0
41606,this,tipio,0.75
105438,when,whom,0.5
110289,She,she,0.3333333333333333
57410,:,y,1.0
51874,of,cf,0.5
101178,life,life,0.0
56925,much,much,0.0
70687,code,coole,0.5
13644,These,there,0.4
37294,too,fp,1.0
98710,look,look,0.0
57547,end,end,0.0
75599,them,the men,0.75
23994,produced,produced,0.0
39184,",",j,1.0
27867,Lucas,Lucas,0.0
76551,with,in in,1.25
12378,60,60,0.0
98854,the,the,0.0
10170,that,that,0.0
78268,that,tha t,0.25
59454,was,wary,0.6666666666666666
7253,Oum,own,1.0
89196,being,being,0.0
10461,an,an,0.0
32111,-,100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000,79.0
52515,;,q,1.0
71328,for,for,0.0
86505,was,will,1.0
50299,way,way,0.0
52146,#,effect,6.0
5352,strong,shery,0.8333333333333334
67872,his,his,0.0
48765,odd,odd,0.0
41484,and,and,0.0
35339,",",d,1.0
33083,This,this,0.25
52172,THE,the,1.0
60664,so,so,0.0
23556,ghost,ghost,0.0
110036,other,of her,0.4
104790,from,from,0.0
22840,years,years,0.0
103655,round,round,0.0
113927,late,late,0.0
46598,out,out,0.0
99616,the,the,0.0
94157,to,to,0.0
29898,My,my,0.5
74464,breakfast,breakfast,0.0
32536,based,looseul,1.0
27040,series,garpea,0.6666666666666666
6981,nesia,msia,0.4
104087,silences,silences,0.0
94582,",","in "" """,6.0
10393,and,an d,0.3333333333333333
93893,him,him,0.0
109617,"""",ivy,3.0
12684,speaking,speaking,0.0
27669,father-in-law,father -in-law,0.07692307692307693
27256,little,little,0.0
64409,",",i,1.0
98882,scanner,scanner,0.0
58798,Rome,rome,0.25
81616,enough,enough,0.0
93943,was,was,0.0
56880,the,the,0.0
44896,are,warte,0.6666666666666666
43854,swimming,swimming,0.0
40942,youngster,youngster,0.0
46709,The,the,0.3333333333333333
31611,good,gaad,0.5
37344,work,work,0.0
104913,at,coA,1.5
26329,Pinkie,pinteri,0.8333333333333334
16833,of,of,0.0
17900,RUSSELL,Russell,0.8571428571428571
43343,Drift,drift,0.2
39845,with,with,0.0
13060,added,added,0.0
29919,month,month,0.0
89825,the,the,0.0
33840,helps,hel ps,0.2
66714,men,men,0.0
112045,down,down,0.0
32077,the,the,0.0
20521,Ben,bein,0.6666666666666666
111659,his,his,0.0
42674,and,and,0.0
2520,He,fte,1.0
97816,the,the,0.0
110780,normal,normal,0.0
23870,large,f arge,0.4
36003,battle,battle,0.0
42721,Fix,fix,0.3333333333333333
55812,leading,leading,0.0
84746,?,", 7",3.0
15049,up,up,0.0
14659,home,home,0.0
85103,the,pne,0.6666666666666666
76117,attract,a true t,0.5714285714285714
104286,he,he,0.0
98740,not,not,0.0
81212,in,"""",1.0
98673,prepared,prepared,0.0
92537,charge,charge,0.0
53918,forcible,forcible,0.0
100884,",",j,1.0
92234,in,in,0.0
24417,Joshua,jeshma,0.5
36065,the,ch,0.6666666666666666
21603,the,the,0.0
22142,Union,Union,0.0
58042,What,hagl,0.75
49717,young,you've,0.6
88485,all,qll,0.3333333333333333
71316,the,the,0.0
52839,be,be,0.0
87965,firm,firm,0.0
39133,a,cd,2.0
23402,1944,1944,0.0
49859,the,p.,1.0
43972,of,of,0.0
75969,shops,shops,0.0
109352,won't,won't,0.0
31505,one,one,0.0
104722,west,erf,0.75
90757,he,p.e,1.0
20250,directive,directive,0.0
3484,many,away,0.75
47108,evidence,evidence,0.0
66159,the,the,0.0
42085,floor,floor,0.0
95363,Price,or ice,0.4
104116,a,a,0.0
57894,his,hir,0.3333333333333333
74340,comparison,comparison,0.0
76737,the,the,0.0
13655,Trade,trade,0.2
76188,also,ali o,0.5
52501,to,to,0.0
16109,they,they,0.0
107026,accept,accept,0.0
40960,easy,easy,0.0
14830,the,the,0.0
9725,land,bun d.,1.0
73038,in,in,0.0
68628,that,that,0.0
108197,there,there,0.0
26286,",",f,1.0
66990,Neapolitan,Neapoliton,0.1
67337,of,of,0.0
96291,is,is,0.0
4285,easier,er,0.6666666666666666
106830,dancing,dancing,0.0
102578,stranger's,this stronger .,0.8
32099,variety,variety,0.0
1681,delegates,delegates,0.0
57230,of,o f,0.5
83872,him,him,0.0
50371,",",i,1.0
57939,",",f,1.0
65720,the,the,0.0
103932,editor,editor,0.0
20598,Without,without,0.14285714285714285
109338,like,like,0.0
103276,why,why,0.0
61342,heard,heard,0.0
79501,evidence,evidence,0.0
54953,translated,trans le ded .,0.6
73883,persisted,persisted,0.0
78517,cylindrical,cycling drive at,0.6363636363636364
17871,The,the,0.3333333333333333
29374,being,being,0.0
104412,danger,danger .,0.3333333333333333
90406,you,you,0.0
78818,the,the,0.0
98952,of,of,0.0
26830,of,of,0.0
76422,that,f haf,0.75
29853,a,cl,2.0
112715,not,not,0.0
96061,the,the,0.0
21565,and,and,0.0
93866,a,a,0.0
89679,an,cu,1.0
5404,not,not,0.0
111878,on,on,0.0
34000,",",j,1.0
17510,with,with,0.0
101172,time,firme,0.5
59956,for,fur,0.3333333333333333
57893,as,qrs,1.0
84470,her,hep,0.3333333333333333
110096,scription,scriptions,0.1111111111111111
89462,concrete,concrete,0.0
1664,because,because,0.0
107628,her,her,0.0
33854,God,go d,0.6666666666666666
94718,lurking,lurking,0.0
63070,years,yous,0.6
4477,to,f0,1.0
99767,taking,stalcity,0.8333333333333334
95997,",",""" I",3.0
94770,",",f,1.0
95109,were,were,0.0
58394,priest,priest,0.0
46926,Association,association,0.09090909090909091
113572,up,up,0.0
24553,Fanny,Fanny,0.0
110669,no,ho,0.5
53649,the,the,0.0
114750,done,done,0.0
92389,keep,keep,0.0
70199,worst,L or St,0.8
20063,link,lijk,0.25
79038,the,tre,0.3333333333333333
65542,in,in,0.0
40498,no,no,0.0
17091,before,before,0.0
21306,present,present,0.0
39460,runners,runners,0.0
41134,is,js,0.5
91536,A,a,1.0
91190,had,hood,0.6666666666666666
64413,himself,himself,0.0
30277,be,ye,0.5
82679,',r,1.0
